"Btw";"Perioden";"Aardgas/Vast leveringstarief (Euro/jaar)";"Aardgas/Variabel leveringstarief (Euro/m3)";"Elektriciteit/Vast leveringstarief (Euro/jaar)";"Elektriciteit/Variabel leveringstarief (Euro/kWh)"
"Inclusief btw";"2018 january";53,42;0,3182;51,84;0,0671
"Inclusief btw";"2018 february";53,98;0,318;52,49;0,067
"Inclusief btw";"2018 march";53,98;0,3179;52,49;0,0673
"Inclusief btw";"2018 april";53,98;0,3127;52,49;0,0667
"Inclusief btw";"2018 may";53,98;0,3145;52,49;0,0676
"Inclusief btw";"2018 june";53,98;0,3202;52,49;0,0691
"Inclusief btw";"2018 july";59,93;0,3367;59,43;0,0722
"Inclusief btw";"2018 august";59,11;0,3387;58,25;0,073
"Inclusief btw";"2018 september";59,11;0,3418;58,25;0,0746
"Inclusief btw";"2018 october";59,17;0,3479;58,32;0,0766
"Inclusief btw";"2018 november";59,17;0,3658;58,32;0,081
"Inclusief btw";"2018 december";59,17;0,3627;58,32;0,0802
"Inclusief btw";"2019 january";59,89;0,3827;59,6;0,0865
"Inclusief btw";"2019 february";66,12;0,3759;65,56;0,0857
"Inclusief btw";"2019 march";66,12;0,3671;65,6;0,0841
"Inclusief btw";"2019 april";66,12;0,363;65,6;0,082
"Inclusief btw";"2019 may";66,12;0,357;65,6;0,0811
"Inclusief btw";"2019 june";66,12;0,3588;65,6;0,0815
"Inclusief btw";"2019 july";67,72;0,3429;67,78;0,0785
"Inclusief btw";"2019 august";68,04;0,3343;68,42;0,0768
"Inclusief btw";"2019 september";68,04;0,3324;68,42;0,0772
"Inclusief btw";"2019 october";68,04;0,3297;68,42;0,0769
"Inclusief btw";"2019 november";68,04;0,332;68,44;0,0773
"Inclusief btw";"2019 december";68,04;0,3301;68,44;0,0765
"Inclusief btw";"2020 january";66,52;0,3227;67,5;0,0768
"Inclusief btw";"2020 february";66,52;0,3169;67,5;0,0755
"Inclusief btw";"2020 march";67,12;0,306;68,08;0,0733
"Inclusief btw";"2020 april";67,01;0,2942;67,98;0,0707
"Inclusief btw";"2020 may";67,01;0,2888;67,98;0,069
"Inclusief btw";"2020 june";67,01;0,2843;67,98;0,0682
"Inclusief btw";"2020 july";68,52;0,2616;68,82;0,0675
"Inclusief btw";"2020 august";67,95;0,263;68,89;0,0685
"Inclusief btw";"2020 september";69,18;0,2634;69,34;0,0691
"Inclusief btw";"2020 october";69,18;0,2649;69,34;0,0692
"Inclusief btw";"2020 november";69,29;0,2696;69,44;0,0701
"Inclusief btw";"2020 december";69,6;0,272;69,73;0,07
"Inclusief btw";"2021 january";70,19;0,266;71,33;0,0697
"Inclusief btw";"2021 february";70,17;0,2758;71,61;0,0735
"Inclusief btw";"2021 march";70,17;0,2842;71,61;0,0753
"Inclusief btw";"2021 april";70,76;0,289;72,12;0,0768
"Inclusief btw";"2021 may";71,03;0,302;71,42;0,0720
